state,colonies_number,yield_per_colony,production,stocks,average_price,value_of_production,year
Wisconsin,57000,63,1508000,1508000,189,6787000,2011
Wyoming,35000,54,265000,265000,172,3251000,2011
Alabama,8000,54,65000,65000,247,1067000,2012
Arizona,22000,46,253000,253000,179,1811000,2012
Arkansas,25000,63,189000,189000,198,3119000,2012
California,330000,35,3119000,3119000,194,22407000,2012
Colorado,25000,48,468000,468000,207,2484000,2012
Florida,193000,64,1235000,1235000,184,22728000,2012
Georgia,59000,51,181000,181000,192,5777000,2012
Hawaii,10000,75,263000,263000,415,3113000,2012
Idaho,92000,32,530000,530000,163,4799000,2012
Illinois,7000,61,145000,145000,355,1516000,2012
Indiana,8000,59,203000,203000,254,1199000,2012
Iowa,37000,61,1196000,1196000,217,4898000,2012
Kansas,6000,55,125000,125000,228,752000,2012
Kentucky,5000,51,41000,41000,315,803000,2012
Louisiana,41000,86,141000,141000,183,6453000,2012
Maine,4000,34,24000,24000,239,325000,2012
Michigan,73000,57,1332000,1332000,203,8447000,2012
Minnesota,125000,67,1591000,1591000,192,16080000,2012
Mississippi,18000,118,64000,64000,177,3759000,2012
Missouri,7000,53,108000,108000,280,1039000,2012
Montana,145000,52,2413000,2413000,195,14703000,2012
Nebraska,43000,65,1146000,1146000,193,5394000,2012
NewJersey,14000,33,51000,51000,197,910000,2012
NewMexico,5000,52,99000,99000,339,881000,2012
NewYork,51000,51,988000,988000,223,5800000,2012
NorthCarolina,13000,39,106000,106000,376,1906000,2012
NorthDakota,480000,69,5962000,5962000,192,63590000,2012
Ohio,18000,60,410000,410000,246,2657000,2012
Oregon,60000,32,845000,845000,216,4147000,2012
Pennsylvania,16000,60,269000,269000,257,2467000,2012
SouthDakota,260000,63,3604000,3604000,195,31941000,2012
Tennessee,6000,61,59000,59000,293,1072000,2012
Texas,92000,52,718000,718000,200,9568000,2012
Utah,25000,38,209000,209000,187,1777000,2012
Vermont,4000,60,53000,53000,239,574000,2012
Virginia,4000,41,23000,23000,377,618000,2012
Washington,62000,41,1017000,1017000,238,6050000,2012
WestVirginia,6000,48,95000,95000,291,838000,2012
Wisconsin,60000,69,1863000,1863000,205,8487000,2012
Wyoming,50000,51,459000,459000,187,4769000,2012
Alabama,7000,52,55000,55000,285,1037000,2013
Arizona,29000,36,251000,251000,196,2046000,2013
